Cust_id,Cust_name,Dob,Age,Gender,Cust_Language,Mobail Number,City_code
1,Sanket Disale,2003-04-22,20,Male,English,9356456616,411037
2,Dhruv Kshirsagar,2003-11-22,20,Male,Hindi,9356456616,413304
3,Sanket Sarvalkar,1977-07-30,46,Male,Marathi,9356456616,411037
4,Barjraj,1995-09-13,27,Male,English,9356456616,413304
5,Ramdin verma,2011-06-06,12,Male,English,9356456616,413304
6,sharat chandran,1987-10-03,35,Male,English,9356456616,413304
7,birender mandal,1983-06-10,40,Male,English,9356456616,413304
8,Amit,1999-07-06,24,Male,Marathi,9356456616,413304
9,kushal,1975-12-14,47,Male,Marathi,9356456616,413304
10,kasid,2006-03-14,17,Male,Marathi,9356456616,412205
11,shiv prakash,2009-04-06,14,Male,Marathi,9356456616,411037
12,vikram singh,2001-04-18,22,Male,Marathi,9356456616,412205
13,sanjay,2009-02-20,14,Male,Marathi,9356456616,411037
14,abhi,2003-01-21,20,Male,Marathi,9356456616,412205
15,ram  gupta,1990-11-16,32,Male,Marathi,9356456616,412205
16,khadak singh,1988-12-21,34,Male,Marathi,9356456616,411037
17,gurmit singh,1993-04-06,30,Male,Marathi,9356456616,412205
18,chanderpal,1978-09-27,44,Male,Hindi,9356456616,413304
19,aman,1990-05-10,33,Male,Hindi,9356456616,412205
20,khursid,1989-03-06,34,Male,Hindi,9356456616,411037
21,rajeev,1999-10-01,23,Male,Hindi,9356456616,411037
22,durgesh,1993-10-17,29,Male,Hindi,9356456616,413304
23,nahar singh,2007-11-26,15,Male,Hindi,9356456616,413304
24,ram kumar,2012-09-27,10,Male,Hindi,9356456616,411037
25,sunder paal,2010-02-26,13,Male,Hindi,9356456616,412205
26,maansingh aswal,2010-03-07,13,Male,Hindi,9356456616,413304
27,rohit,1992-08-07,31,Male,Hindi,9356456616,411037
28,rohit,1992-03-14,31,Male,Hindi,9356456616,412205
29,sparsh,2009-04-05,14,Male,Hindi,9356456616,411037
30,santosh,1981-01-02,42,Male,Hindi,9356456616,411037
31,santosh,2010-05-23,13,Male,Hindi,9356456616,411037
32,punit khandelwal,2000-11-04,22,Male,English,9356456616,411037
33,dinesh,2004-01-30,19,Male,English,9356456616,413304
34,gulshan,1981-09-07,41,Male,English,9356456616,412205
35,arvind kumar yadav,1984-05-16,39,Male,Marathi,9356456616,411037
36,nausad,1993-07-27,30,Male,Marathi,9356456616,413304
37,gurmit singh,2007-06-10,16,Male,Marathi,9356456616,413304
38,md. afsar,2007-02-22,16,Male,Marathi,9356456616,412205
39,shiv shakti singh,1990-08-16,33,Male,Marathi,9356456616,413304
40,moti lal,2006-05-21,17,Male,Marathi,9356456616,412205
41,kausal kumar,2008-10-12,14,Male,Marathi,9356456616,413304
42,rohit,1976-04-25,47,Male,Marathi,9356456616,411037
43,rohit,1986-07-14,37,Male,Marathi,9356456616,412205
44,mohabbat ali,1999-04-26,24,Male,Marathi,9356456616,412205
45,raj kumar,1979-07-28,44,Male,Hindi,9356456616,413304
46,jaswant singh,1984-10-18,38,Male,Hindi,9356456616,413304
47,sevak ,2013-05-24,10,Male,Hindi,9356456616,412205
48,chotelal,1985-07-10,38,Male,English,9356456616,413304
49,amit,1995-06-17,28,Male,English,9356456616,412205
50,rupesh,1997-08-02,26,Male,English,9356456616,412205
51,midda,1990-02-17,33,Male,Marathi,9356456616,411037
52,dharam singh,1999-04-14,24,Male,Marathi,9356456616,412205
53,manoj yadav ,1990-04-25,33,Male,Marathi,9356456616,413304
